epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
117,12372.5,1.61345,1.67227,0.01028,0.57594,0.35656,0.38202,0.23845,1.65904,1.36681,0.00485,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,12477.4,1.63786,1.66396,0.00994,0.57907,0.3593,0.38271,0.23891,1.6582,1.36554,0.00485,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,12583.3,1.61086,1.67077,0.01018,0.58022,0.35828,0.38313,0.23929,1.65584,1.36492,0.00484,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,12687.4,1.61695,1.66031,0.01025,0.5818,0.35391,0.38376,0.23969,1.65576,1.36379,0.00484,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,12791.8,1.6265,1.66073,0.01007,0.59092,0.3556,0.38447,0.23994,1.65481,1.3623,0.00483,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,12895.3,1.60724,1.6729,0.01032,0.59111,0.35754,0.38544,0.24046,1.65431,1.361,0.00483,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,13000.5,1.61164,1.64906,0.01029,0.59011,0.35818,0.38583,0.24076,1.65348,1.35895,0.00483,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,13104.5,1.61862,1.68997,0.0105,0.58371,0.36085,0.38629,0.24129,1.65162,1.35797,0.00483,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,13211.5,1.62672,1.65526,0.01014,0.59069,0.35997,0.387,0.24164,1.65031,1.35669,0.00482,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,13317.5,1.62407,1.65989,0.01025,0.59188,0.3591,0.38797,0.24255,1.64965,1.35414,0.00482,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,13422.7,1.61655,1.64658,0.01004,0.60229,0.35721,0.3885,0.24312,1.64821,1.35325,0.00481,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,13527.2,1.61877,1.63935,0.00995,0.59197,0.36202,0.3898,0.24394,1.64676,1.35217,0.00481,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,13631.4,1.60829,1.63856,0.00993,0.58323,0.36474,0.38964,0.24381,1.64501,1.35036,0.0048,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,13736.4,1.57777,1.62436,0.01014,0.55572,0.37845,0.39007,0.24428,1.64413,1.34707,0.0048,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
